order_id,customer_id,product_id,quantity,price,order_date
1,1,101,2,19.99,2023-01-15
2,2,102,1,49.99,2023-01-16
3,1,103,3,14.99,2023-01-17
4,3,101,1,19.99,2023-01-18
5,4,104,4,24.99,2023-01-19
6,5,105,2,39.99,2023-01-20
7,6,106,1,9.99,2023-01-21
8,7,107,5,59.99,2023-01-22
9,8,101,1,19.99,2023-01-23
10,9,102,2,49.99,2023-01-24
11,10,103,1,14.99,2023-01-25
12,11,104,3,24.99,2023-01-26
13,12,105,2,39.99,2023-01-27
14,13,106,4,9.99,2023-01-28
15,14,107,1,59.99,2023-01-29
16,15,101,2,19.99,2023-01-30
